Tablereport_source_Cell1|Tablereport_source_Cell2|Tablereport_source_Cell3|Tablereport_source_Cell4|Tablereport_source_Cell5|Tablereport_source_Cell6|Tablereport_source_Cell7
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911016323338|Магазин «Евпаторийские колбасы» (г. Саки, ул. Симферопольская, сквер напротив храма)|292,13|79,07|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911016323338|Магазин «Евпаторийские колбасы» (г. Севастополь, пер. Античный, 26 КЗ)|113,38|229,59|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911016323338|Магазин «Евпаторийские колбасы» (г. Севастополь, ул Вакуленчука, 53/11)|156,09|264,25|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911016323338|Магазин «Евпаторийские колбасы» (г. Симферополь, Лермонтова, 3)|209,76|230,97|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911016323338|Магазин «Евпаторийские колбасы» (г. Симферополь, М. Жукова, 32, пав. 45)|60,54|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9202001902|Магазин «Идеал Юг» (г. Севастополь, с. Орлиное, ул. Тюкова, 50)|459,78|725,38|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102046378|Магазин «ИМПЕРИЯ ВКУСА» (г. Симферополь, ул. Арабатская, 3, ком. 12)|111,01|191,35|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103009523|Магазин «Кайрос» (г. Ялта, пгт. Гаспра, ул. Маратовская, 57)|238,62|240,28|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910216067224|Магазин «Канцелярские сокровища» (г. Симферополь, ул. Горького, 14А)|340,13|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|920450700627|Магазин «Канцтовары» (г. Севастополь, ул. Большая Морская, 20)|125,03|72,20|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|421211254909|Магазин «Караван» (Бахчисарайский р н, с. Песчаное, ул. Бассейная, 1)|318,73|161,78|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911108663849|Магазин «Карамелька» (пгт. Ленино,  Пушкина, 52)|130,97|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910500070409|Магазин «Каштан» (Красногвардейский р н , с. Восход, ул. Ленина, 4)|8,76|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910200364207|Магазин «Кира» (Симферопольский р н, массив Белое 4, 32я улица)|52,15|136,78|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910200470131|Магазин «Книги и канцтовары» (г. Симферополь, пр т Кирова, 82)|43,93|193,82|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910200470131|Магазин «Книги и канцтовары» (г. Симферополь, ул. Гагарина, 1/15)|162,00|306,83|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9102057676|Магазин «Книжный Дом» (г. Симферополь, ул. Пушкина, 6А)|350,64|595,77|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103007766|Магазин «Коктейль» (г. Ялта, пгт. Кореиз, пер. Южный, 4)|124,36|114,30|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910500062937|Магазин «Корзинка» (г. Симферополь, ул. Элеваторная, 4)|290,19|112,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910301536068|Магазин «Крым Роза» (г. Ялта, наб. им. Ленина, 5а)|76,00|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103013103|Магазин «Крымские вина» (г. Ялта, ул. Ломоносова, 1/3)|498,13|65,89|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9111001856|Магазин «Крымские вина» (г. Керчь, ул. Генерала Петрова, 24А)|276,45|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910906113928|Магазин «Куртвеис» (г. Белогорск, ул. Ат чапар, 24)|143,75|110,33|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300069614|Магазин «Леко» (г. Ялта, ул. Киевская, 6)|158,52|597,58|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9103012389|Магазин «Леко» (г. Ялта, ул. Киевская, 6)|37,39|318,49|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910517660710|Магазин «ЛИДЕР ТОРГ» (Джанкойский р н, с. Новокрымское, ул. Школьная, 30)|315,32|268,38|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9203004039|Магазин «Лидия» (г. Севастополь, ул. Громова, 62А)|236,11|726,70|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910300149700|Магазин «Лика» (г. Ялта, ул. Большевистская, 10)|124,15|5,04|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|911102118212|Магазин «ЛЮБИМЫЙ» (с. Останино, ул. Воронежская, 32)|210,24|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|9108105044|Магазин «Магазин №1» (г. Судак, Бирюзовая, 28а)|76,66|43,67|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910902079440|Магазин «Магазинчик» (г. Симферополь, ул.Чехова, 117/пер.Братский, 2)|279,81|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910910386572|Магазин «Макс Маг 1» (Симферопольский р н, с. Перевальное,  ул. Октябрьская, 46)|67,95|0,00|0,00|
2021. Смена с 00:00 до 00:0004. Смена с 00:00 до 00:0002. Смена с 00:00 до 00:00|910910386572|Магазин «Макс Маг 2» (Симферопольский р н, с. Перевальное,  ул. Октябрьская, 46)|262,86|0,00|0,00|
